Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,50,25,gamma1,1.48,-8.87683,14.990136,1.506565,-10.35683,-699.79,18.157598,0.7468,0.4177,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B11_1,-0.05,0.028235,0.076131,0.007651,0.078235,156.47,0.108895,0.0909,0.6667,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B11_2,-0.06,0.024303,0.061245,0.006155,0.084303,140.51,0.104019,0.1818,0.6768,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B21_1,-0.87,-0.079789,0.127753,0.01284,0.790211,90.83,0.800368,0.0606,0.5354,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B21_2,-0.77,-0.08475,0.158498,0.01593,0.68525,88.99,0.703161,0.1313,0.3333,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B22_1,-0.92,-0.272138,0.469429,0.047179,0.647862,70.42,0.798663,0.1919,0.6465,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B22_2,-0.45,-0.120555,0.223118,0.022424,0.329445,73.21,0.397257,0.1717,0.4646,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B31d_1,0.33,0.789224,0.492128,0.049461,0.459224,139.16,0.67129,0.0808,0.9394,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B31d_2,0.15,0.665422,0.691342,0.069482,0.515422,343.61,0.859526,0.1212,0.8687,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B32d_1,0.31,0.755094,0.252366,0.025364,0.445094,143.58,0.511033,0.2121,0.8081,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B32d_2,0.69,0.927588,0.130632,0.013129,0.237588,34.43,0.270814,0.1818,0.8889,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B41d_1,0.11,0.039344,0.205211,0.020624,-0.070656,-64.23,0.216052,0.5758,0.303,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B41d_2,-0.3,-0.045645,0.262462,0.026378,0.254355,84.79,0.364537,0.303,0.1111,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B42d_1,0.57,0.176087,0.180466,0.018137,-0.393913,-69.11,0.432904,0.2222,0.6869,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B42d_2,0.01,0.010024,0.052406,0.005267,2.4e-05,0.24,0.05214,0.9495,0.0909,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
